id,title,description,content_type,content_type_2,year,rank,height,imageUrl,width,year_2
tt6718170,The Super Mario Bros. Movie,"Chris Pratt, Anya Taylor-Joy",feature,movie,2023.0,321.0,1034,https://m.media-amazon.com/images/M/MV5BOTJhNzlmNzctNTU5Yy00N2YwLThhMjQtZDM0YjEzN2Y0ZjNhXkEyXkFqcGdeQXVyMTEwMTQ4MzU5._V1_.jpg,700,
tt5779228,The Garfield Movie,"Chris Pratt, Samuel L. Jackson",feature,movie,2024.0,854.0,3000,https://m.media-amazon.com/images/M/MV5BMzJiMzhiOWQtMDljZS00MjViLWEwMzUtNzIxMTBmZGNkOWExXkEyXkFqcGdeQXVyNzAwMjU2MTY@._V1_.jpg,2000,
tt1333125,Movie 43,"Emma Stone, Stephen Merchant",feature,movie,2013.0,1975.0,2048,https://m.media-amazon.com/images/M/MV5BMTg4NzQ3NDM1Nl5BMl5BanBnXkFtZTcwNjEzMjM3OA@@._V1_.jpg,1381,
tt0277371,Not Another Teen Movie,"Chyler Leigh, Jaime Pressly",feature,movie,2001.0,1002.0,855,https://m.media-amazon.com/images/M/MV5BNGM1NDA5MDktMWFjZi00MmNkLWJmYTEtMTgwMWFmZTJjMzA4XkEyXkFqcGdeQXVyMTUyOTc1NDYz._V1_.jpg,580,
tt0175142,Scary Movie,"Anna Faris, Jon Abrahams",feature,movie,2000.0,1857.0,858,https://m.media-amazon.com/images/M/MV5BMGEzZjdjMGQtZmYzZC00N2I4LThiY2QtNWY5ZmQ3M2ExZmM4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,580,
tt0848228,The Avengers,"Robert Downey Jr., Chris Evans",feature,movie,2012.0,1028.0,1184,https://m.media-amazon.com/images/M/MV5BNDYxNjQyMjAtNTdiOS00NGYwLWFmNTAtNThmYjU5ZGI2YTI1XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_.jpg,800,
tt0118661,The Avengers,"Ralph Fiennes, Uma Thurman",feature,movie,1998.0,11766.0,2260,https://m.media-amazon.com/images/M/MV5BZTQ4NmIzMTktOTdjOC00NzE4LWIzNTgtODkwNzM5ZjUzZDkxXkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_.jpg,1500,
tt4154796,Avengers: Endgame,"Robert Downey Jr., Chris Evans",feature,movie,2019.0,458.0,2048,https://m.media-amazon.com/images/M/MV5BMTc5MDE2ODcwNV5BMl5BanBnXkFtZTgwMzI2NzQ2NzM@._V1_.jpg,1382,
tt4154756,Avengers: Infinity War,"Robert Downey Jr., Chris Hemsworth",feature,movie,2018.0,877.0,2048,https://m.media-amazon.com/images/M/MV5BMjMxNjY2MDU1OV5BMl5BanBnXkFtZTgwNzY1MTUwNTM@._V1_.jpg,1382,
tt21064584,The Iron Claw,"Zac Efron, Jeremy Allen White",feature,movie,2023.0,99.0,3000,https://m.media-amazon.com/images/M/MV5BOGE5NjllZTEtMGJjNy00ZTFmLThlNDItNmNiZTgyOTQ4OTA2XkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_.jpg,2025,
tt0371746,Iron Man,"Robert Downey Jr., Gwyneth Paltrow",feature,movie,2008.0,762.0,2048,https://m.media-amazon.com/images/M/MV5BMTczNTI2ODUwOF5BMl5BanBnXkFtZTcwMTU0NTIzMw@@._V1_.jpg,1382,
tt1228705,Iron Man 2,"Robert Downey Jr., Mickey Rourke",feature,movie,2010.0,1428.0,1768,https://m.media-amazon.com/images/M/MV5BZGVkNDAyM2EtYzYxYy00ZWUxLTgwMjgtY2VmODE5OTk3N2M5XkEyXkFqcGdeQXVyNTgzMDMzMTg@._V1_.jpg,1200,
tt1300854,Iron Man 3,"Robert Downey Jr., Guy Pearce",feature,movie,2013.0,1886.0,1100,https://m.media-amazon.com/images/M/MV5BMjE5MzcyNjk1M15BMl5BanBnXkFtZTcwMjQ4MjcxOQ@@._V1_.jpg,770,
tt0129167,The Iron Giant,"Eli Marienthal, Harry Connick Jr.",feature,movie,1999.0,2867.0,2905,https://m.media-amazon.com/images/M/MV5BYzBjZTNkMzQtZmNkOC00Yzk0LTljMjktZjk3YWVlZjY3NTk2XkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_.jpg,1959,
tt2395427,Avengers: Age of Ultron,"Robert Downey Jr., Chris Evans",feature,movie,2015.0,1859.0,1280,https://m.media-amazon.com/images/M/MV5BMTM4OGJmNWMtOTM4Ni00NTE3LTg3MDItZmQxYjc4N2JhNmUxXkEyXkFqcGdeQXVyNTgzMDMzMTg@._V1_.jpg,864,
